eopch number: 0; eval psnr: 21.46; eval ssim: 0.8815; runtime: 8.88 seconds; train loss: 0.2524; val_loss: 17.1079
eopch number: 1; eval psnr: 22.30; eval ssim: 0.9182; runtime: 7.70 seconds; train loss: 0.1314; val_loss: 16.0700
eopch number: 2; eval psnr: 25.14; eval ssim: 0.9516; runtime: 7.30 seconds; train loss: 0.0903; val_loss: 10.7393
eopch number: 3; eval psnr: 26.34; eval ssim: 0.9613; runtime: 7.97 seconds; train loss: 0.0757; val_loss: 9.1935
eopch number: 4; eval psnr: 26.78; eval ssim: 0.9673; runtime: 8.03 seconds; train loss: 0.0683; val_loss: 8.7192
eopch number: 5; eval psnr: 26.60; eval ssim: 0.9693; runtime: 6.79 seconds; train loss: 0.0635; val_loss: 9.0747
eopch number: 6; eval psnr: 24.58; eval ssim: 0.9670; runtime: 6.88 seconds; train loss: 0.0592; val_loss: 12.2987
eopch number: 7; eval psnr: 27.11; eval ssim: 0.9731; runtime: 7.22 seconds; train loss: 0.0572; val_loss: 8.5074
eopch number: 8; eval psnr: 28.00; eval ssim: 0.9758; runtime: 8.13 seconds; train loss: 0.0539; val_loss: 7.5878
eopch number: 9; eval psnr: 28.48; eval ssim: 0.9775; runtime: 7.26 seconds; train loss: 0.0515; val_loss: 7.1175
eopch number: 10; eval psnr: 28.77; eval ssim: 0.9789; runtime: 6.95 seconds; train loss: 0.0512; val_loss: 6.8456
eopch number: 11; eval psnr: 29.07; eval ssim: 0.9799; runtime: 7.64 seconds; train loss: 0.0473; val_loss: 6.6207
eopch number: 12; eval psnr: 29.16; eval ssim: 0.9808; runtime: 6.75 seconds; train loss: 0.0467; val_loss: 6.5831
eopch number: 13; eval psnr: 29.33; eval ssim: 0.9812; runtime: 6.94 seconds; train loss: 0.0458; val_loss: 6.4442
eopch number: 14; eval psnr: 29.26; eval ssim: 0.9817; runtime: 7.71 seconds; train loss: 0.0445; val_loss: 6.5638
eopch number: 15; eval psnr: 29.19; eval ssim: 0.9819; runtime: 6.82 seconds; train loss: 0.0439; val_loss: 6.6499
eopch number: 16; eval psnr: 29.62; eval ssim: 0.9829; runtime: 7.93 seconds; train loss: 0.0427; val_loss: 6.2538
eopch number: 17; eval psnr: 29.77; eval ssim: 0.9830; runtime: 7.49 seconds; train loss: 0.0426; val_loss: 6.0781
eopch number: 18; eval psnr: 29.90; eval ssim: 0.9836; runtime: 7.36 seconds; train loss: 0.0411; val_loss: 6.0113
eopch number: 19; eval psnr: 29.74; eval ssim: 0.9840; runtime: 7.06 seconds; train loss: 0.0407; val_loss: 6.1848
eopch number: 20; eval psnr: 30.03; eval ssim: 0.9844; runtime: 7.94 seconds; train loss: 0.0399; val_loss: 5.9258
eopch number: 21; eval psnr: 30.22; eval ssim: 0.9848; runtime: 7.42 seconds; train loss: 0.0399; val_loss: 5.7890
eopch number: 22; eval psnr: 30.19; eval ssim: 0.9852; runtime: 7.04 seconds; train loss: 0.0390; val_loss: 5.8167
eopch number: 23; eval psnr: 30.48; eval ssim: 0.9855; runtime: 7.68 seconds; train loss: 0.0394; val_loss: 5.5454
eopch number: 24; eval psnr: 30.37; eval ssim: 0.9858; runtime: 7.36 seconds; train loss: 0.0377; val_loss: 5.6880
eopch number: 25; eval psnr: 29.89; eval ssim: 0.9857; runtime: 7.65 seconds; train loss: 0.0376; val_loss: 6.1168
eopch number: 26; eval psnr: 30.71; eval ssim: 0.9864; runtime: 7.46 seconds; train loss: 0.0369; val_loss: 5.4123
eopch number: 27; eval psnr: 30.73; eval ssim: 0.9866; runtime: 6.82 seconds; train loss: 0.0366; val_loss: 5.3540
eopch number: 28; eval psnr: 30.87; eval ssim: 0.9868; runtime: 7.47 seconds; train loss: 0.0350; val_loss: 5.2658
eopch number: 29; eval psnr: 30.50; eval ssim: 0.9867; runtime: 7.04 seconds; train loss: 0.0361; val_loss: 5.5797
eopch number: 30; eval psnr: 30.85; eval ssim: 0.9870; runtime: 7.14 seconds; train loss: 0.0344; val_loss: 5.3092
eopch number: 31; eval psnr: 30.62; eval ssim: 0.9869; runtime: 8.17 seconds; train loss: 0.0353; val_loss: 5.4959
eopch number: 32; eval psnr: 30.97; eval ssim: 0.9873; runtime: 6.81 seconds; train loss: 0.0351; val_loss: 5.2296
eopch number: 33; eval psnr: 30.85; eval ssim: 0.9874; runtime: 7.01 seconds; train loss: 0.0345; val_loss: 5.3413
eopch number: 34; eval psnr: 30.80; eval ssim: 0.9874; runtime: 7.39 seconds; train loss: 0.0337; val_loss: 5.3856
eopch number: 35; eval psnr: 31.02; eval ssim: 0.9876; runtime: 7.16 seconds; train loss: 0.0345; val_loss: 5.1843
eopch number: 36; eval psnr: 30.82; eval ssim: 0.9872; runtime: 7.04 seconds; train loss: 0.0338; val_loss: 5.4144
eopch number: 37; eval psnr: 30.63; eval ssim: 0.9877; runtime: 7.35 seconds; train loss: 0.0332; val_loss: 5.5705
eopch number: 38; eval psnr: 31.16; eval ssim: 0.9878; runtime: 7.66 seconds; train loss: 0.0329; val_loss: 5.0845
eopch number: 39; eval psnr: 31.27; eval ssim: 0.9881; runtime: 8.25 seconds; train loss: 0.0329; val_loss: 5.0295
eopch number: 40; eval psnr: 30.99; eval ssim: 0.9880; runtime: 7.13 seconds; train loss: 0.0329; val_loss: 5.2935
eopch number: 41; eval psnr: 31.23; eval ssim: 0.9882; runtime: 7.26 seconds; train loss: 0.0321; val_loss: 5.0588
eopch number: 42; eval psnr: 30.95; eval ssim: 0.9881; runtime: 7.48 seconds; train loss: 0.0325; val_loss: 5.3346
eopch number: 43; eval psnr: 30.61; eval ssim: 0.9880; runtime: 6.89 seconds; train loss: 0.0328; val_loss: 5.6126
eopch number: 44; eval psnr: 30.81; eval ssim: 0.9880; runtime: 8.11 seconds; train loss: 0.0324; val_loss: 5.4334
eopch number: 45; eval psnr: 31.39; eval ssim: 0.9883; runtime: 7.21 seconds; train loss: 0.0322; val_loss: 4.9261
eopch number: 46; eval psnr: 31.14; eval ssim: 0.9883; runtime: 7.34 seconds; train loss: 0.0326; val_loss: 5.1389
