eopch number: 0; eval psnr: 31.84; eval ssim: 0.9891; runtime: 4.82 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 1; eval psnr: 32.03; eval ssim: 0.9899; runtime: 3.78 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 2; eval psnr: 32.22; eval ssim: 0.9905; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 3; eval psnr: 32.30; eval ssim: 0.9908; runtime: 3.80 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 4; eval psnr: 32.34; eval ssim: 0.9910; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 5; eval psnr: 31.68; eval ssim: 0.9908; runtime: 3.66 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 6; eval psnr: 32.47; eval ssim: 0.9914; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 7; eval psnr: 32.54; eval ssim: 0.9916; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 8; eval psnr: 32.56; eval ssim: 0.9916; runtime: 3.71 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 9; eval psnr: 32.58; eval ssim: 0.9917; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 10; eval psnr: 32.61; eval ssim: 0.9918; runtime: 3.69 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 11; eval psnr: 32.60; eval ssim: 0.9919; runtime: 3.50 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 12; eval psnr: 32.64; eval ssim: 0.9919; runtime: 3.71 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 13; eval psnr: 32.66; eval ssim: 0.9920; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 14; eval psnr: 32.69; eval ssim: 0.9921; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 15; eval psnr: 32.66; eval ssim: 0.9920; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 16; eval psnr: 32.72; eval ssim: 0.9921; runtime: 3.65 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 17; eval psnr: 32.76; eval ssim: 0.9922; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
