eopch number: 0; eval psnr: 28.96; eval ssim: 0.9817; runtime: 4.44 seconds; train loss: 0.01; val_loss: 0.00
eopch number: 1; eval psnr: 30.50; eval ssim: 0.9875; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 2; eval psnr: 29.64; eval ssim: 0.9873; runtime: 3.71 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 3; eval psnr: 31.65; eval ssim: 0.9898; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 4; eval psnr: 31.00; eval ssim: 0.9894; runtime: 3.73 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 5; eval psnr: 31.67; eval ssim: 0.9902; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 6; eval psnr: 31.88; eval ssim: 0.9905; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 7; eval psnr: 31.71; eval ssim: 0.9906; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 8; eval psnr: 31.79; eval ssim: 0.9907; runtime: 3.69 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 9; eval psnr: 31.81; eval ssim: 0.9908; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 10; eval psnr: 32.16; eval ssim: 0.9910; runtime: 3.70 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 11; eval psnr: 32.12; eval ssim: 0.9911; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 12; eval psnr: 32.10; eval ssim: 0.9911; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 13; eval psnr: 31.19; eval ssim: 0.9906; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 14; eval psnr: 32.14; eval ssim: 0.9914; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 15; eval psnr: 30.33; eval ssim: 0.9896; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 16; eval psnr: 32.37; eval ssim: 0.9916; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 17; eval psnr: 32.26; eval ssim: 0.9917; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 18; eval psnr: 32.18; eval ssim: 0.9917; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 19; eval psnr: 32.29; eval ssim: 0.9915; runtime: 3.66 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 20; eval psnr: 31.94; eval ssim: 0.9915; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 21; eval psnr: 32.04; eval ssim: 0.9913; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
